# ----------------------------------------
# Traffic acquisition: Session Updated Channel Group
# Account: MyPlace GA4
# Property: My Place Hotels of America (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20260401
# End date: 20260430
Session Updated Channel Group,Date,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Total revenue
Organic Search,20260410,605,730,488,61.56575342465754,0.8066115702479338,7.3931506849315065,0.6684931506849315,5397,29,0.03424657534246575,9465.05
Organic Search,20260420,604,722,515,78.10803324099723,0.8526490066225165,8.497229916897506,0.7132963988919667,6135,23,0.030470914127423823,8913.06
Referral,20260427,602,632,99,24.533227848101266,0.1644518272425249,4.389240506329114,0.15664556962025317,2774,10,0.014240506329113924,2050.75
Cross-network,20260421,600,744,484,74.31451612903226,0.8066666666666666,7.76747311827957,0.6505376344086021,5779,28,0.03494623655913978,16142.76
Cross-network,20260428,597,752,513,76.90292553191489,0.8592964824120602,8.381648936170214,0.6821808510638298,6303,35,0.04654255319148936,12963.7
Organic Search,20260422,597,696,499,70.9353448275862,0.8358458961474037,7.662356321839081,0.7169540229885057,5333,33,0.03735632183908046,9265.93
Cross-network,20260407,594,756,483,74.91005291005291,0.8131313131313131,8.664021164021165,0.6388888888888888,6550,35,0.041005291005291,10372.74
Organic Search,20260429,594,697,486,72.19368723098995,0.8181818181818182,7.987087517934003,0.697274031563845,5567,27,0.03730272596843615,5625.75
Cross-network,20260412,587,711,469,67.20112517580873,0.7989778534923339,8.181434599156118,0.659634317862166,5817,27,0.03375527426160337,7758.76
Organic Search,20260414,586,712,498,74.48033707865169,0.8498293515358362,8.82443820224719,0.699438202247191,6283,31,0.03932584269662921,10366.55
Organic Search,20260417,586,724,477,71.34806629834254,0.8139931740614335,8.073204419889503,0.6588397790055248,5845,29,0.03038674033149171,11844.63
Organic Search,20260415,585,714,497,71.29551820728291,0.8495726495726496,7.658263305322129,0.696078431372549,5468,17,0.023809523809523808,6027.23
Referral,20260419,583,592,73,15.402027027027026,0.12521440823327615,4.3766891891891895,0.12331081081081081,2591,9,0.015202702702702704,2686.73
Organic Search,20260421,581,713,492,77.80084151472651,0.846815834767642,8.537166900420758,0.6900420757363254,6087,24,0.02664796633941094,11976.56
Cross-network,20260401,580,742,496,70.59299191374663,0.8551724137931035,7.977088948787062,0.6684636118598383,5919,29,0.03908355795148248,7033.16
Cross-network,20260402,559,688,465,73.79941860465117,0.8318425760286225,8.104651162790697,0.6758720930232558,5576,29,0.03924418604651163,16760.62
Referral,20260418,548,560,55,11.664285714285715,0.10036496350364964,4.080357142857143,0.09821428571428571,2285,12,0.014285714285714285,4547.93
Cross-network,20260405,537,668,434,69.10179640718563,0.8081936685288641,8.309880239520957,0.6497005988023952,5551,28,0.041916167664670656,8169.39
Referral,20260428,523,557,109,18.991023339317774,0.2084130019120459,4.653500897666068,0.19569120287253142,2592,5,0.00718132854578097,556.7
Organic Search,20260402,521,647,430,71.63833075734158,0.8253358925143954,8.129829984544049,0.6646058732612056,5260,33,0.03709428129829984,11677.83
Referral,20260430,517,546,97,24.353479853479854,0.18762088974854932,4.5677655677655675,0.17765567765567766,2494,10,0.016483516483516484,2008.49
Organic Search,20260403,513,635,434,81.75748031496063,0.8460038986354775,7.489763779527559,0.6834645669291338,4756,19,0.028346456692913385,3900.31
Cross-network,20260404,510,640,399,62.746875,0.7823529411764706,7.7421875,0.6234375,4955,24,0.0359375,7207.52
Referral,20260424,509,537,71,12.508379888268156,0.13948919449901767,4.065176908752328,0.13221601489757914,2183,9,0.0148975791433892,1892.39
Organic Search,20260411,506,616,424,64.59902597402598,0.8379446640316206,7.521103896103896,0.6883116883116883,4633,13,0.01948051948051948,2953.16
Organic Search,20260418,503,582,414,65.52577319587628,0.8230616302186878,7.898625429553265,0.711340206185567,4597,22,0.02577319587628866,15549.42
Organic Search,20260412,501,590,402,68.8406779661017,0.8023952095808383,8.24406779661017,0.6813559322033899,4864,19,0.030508474576271188,3965.38
Referral,20260426,500,515,47,10.41747572815534,0.094,3.8679611650485435,0.0912621359223301,1992,2,0.003883495145631068,693.1
Organic Search,20260419,471,583,381,65.57632933104631,0.8089171974522293,7.535162950257289,0.6535162950257289,4393,19,0.029159519725557463,6127.49
Organic Search,20260425,467,543,376,76.07734806629834,0.8051391862955032,8.425414364640885,0.6924493554327809,4575,23,0.040515653775322284,4498.55
Organic Search,20260426,461,540,365,74.59814814814816,0.7917570498915402,8.103703703703705,0.6759259259259259,4376,13,0.022222222222222223,3584.95
Referral,20260423,452,475,64,13.096842105263159,0.1415929203539823,3.966315789473684,0.13473684210526315,1884,5,0.008421052631578947,1547.41
Organic Search,20260404,429,506,339,54.97430830039526,0.7902097902097902,7.424901185770751,0.6699604743083004,3757,10,0.019762845849802372,3861.59
Referral,20260405,407,424,56,19.91745283018868,0.1375921375921376,4.558962264150943,0.1320754716981132,1933,7,0.014150943396226415,2901.9
Organic Search,20260405,399,476,321,76.92226890756302,0.8045112781954887,8.313025210084033,0.6743697478991597,3957,13,0.025210084033613446,3342.94
Referral,20260425,395,409,41,11.334963325183374,0.10379746835443038,4.068459657701712,0.10024449877750612,1664,4,0.009779951100244499,721.89
Unassigned,20260408,262,276,90,20.39855072463768,0.3435114503816794,4.855072463768116,0.32608695652173914,1340,1,0.0036231884057971015,169
Google HPA,20260430,255,284,204,60.13380281690141,0.8,11.028169014084508,0.7183098591549296,3132,19,0.06338028169014084,3789.21
Email,20260402,254,274,91,31.138686131386862,0.35826771653543305,4.854014598540146,0.33211678832116787,1330,4,0.014598540145985401,542.5
Unassigned,20260413,251,277,99,25.07942238267148,0.3944223107569721,5.187725631768953,0.3574007220216607,1437,1,0.0036101083032490976,306
Google HPA,20260429,239,266,202,79.93609022556392,0.8451882845188284,10.703007518796992,0.7593984962406015,2847,19,0.06390977443609022,3404.95
Unassigned,20260417,230,254,87,21.566929133858267,0.3782608695652174,4.818897637795276,0.3425196850393701,1224,4,0.015748031496062992,1474.66
Google HPA,20260420,228,263,192,57.90494296577947,0.8421052631578947,10.585551330798479,0.7300380228136882,2784,19,0.060836501901140684,5084.08
Unassigned,20260409,220,238,73,42.31512605042017,0.33181818181818185,5.882352941176471,0.3067226890756303,1400,1,0.004201680672268907,233
Google HPA,20260407,218,239,182,64.2050209205021,0.8348623853211009,11.138075313807532,0.7615062761506276,2662,8,0.03347280334728033,3874.18
Google HPA,20260409,217,240,186,70.6125,0.8571428571428571,11.179166666666667,0.775,2683,15,0.0625,3916.93
Google HPA,20260417,217,247,184,66.83400809716599,0.847926267281106,10.623481781376519,0.7449392712550608,2624,14,0.05668016194331984,3525.93
Google HPA,20260427,216,238,180,74.02521008403362,0.8333333333333334,11.289915966386555,0.7563025210084033,2687,19,0.05042016806722689,3570.48
Google HPA,20260428,213,231,173,67.01731601731602,0.812206572769953,11.168831168831169,0.7489177489177489,2580,13,0.05627705627705628,4661.4
